age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,age_numeric,n_listening_contexts,listening_time,skip_rate,diversity_score,usage_months,pod_frequency,streams,bot_like
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok,27,1,153.0,0.6,0.167,30,4,2260,1
12-20,Male,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,Unknown,Satisfied,16,1,79.6,0.8,0.167,30,3,2026,1
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,Unknown,Both,Satisfied,47,2,180.0,0.4,0.333,9,2,1610,0
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,3,204.4,0.4,0.5,18,0,1880,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,27,1,130.5,0.4,0.167,18,1,1672,0
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,137.0,0.6,0.167,30,0,1908,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,121.3,0.6,0.167,18,0,1561,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied,27,1,146.8,0.2,0.167,3,3,964,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,27,2,103.3,0.4,0.333,3,1,896,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,3,186.5,0.4,0.5,30,0,2708,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied,27,2,112.3,0.6,0.333,30,3,2371,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Ok,27,2,180.3,0.6,0.333,18,3,1820,0
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,27,1,120.7,0.6,0.167,18,1,1374,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,27,2,183.8,1.0,0.333,30,1,2436,1
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied,27,1,124.7,0.2,0.167,30,1,1814,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,Unknown,Unknown,Unknown,Unknown,Very Dissatisfied,27,3,108.4,0.8,0.5,30,0,2413,1
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied,27,2,107.2,1.0,0.333,3,4,1083,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social gatherings or parties,Social gatherings ,recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,140.4,0.4,0.167,3,0,803,0
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,158.8,0.6,0.167,30,0,1659,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,Unknown,Unknown,Unknown,Shorter,Ok,27,2,172.0,0.4,0.333,18,0,1526,0
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,2,170.7,0.4,0.333,18,0,1388,0
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Classical,Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,27,1,113.2,0.2,0.167,30,0,1802,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied,27,1,162.2,0.4,0.167,3,2,911,0
